date,pm25,no2,aqi,year,month,season
2023-11-15,1.8770833333333332,19.202916666666667,1.4583333333333333,2023,11,Autumn
2023-11-16,9.735,43.8975,1.7083333333333333,2023,11,Autumn
2023-11-17,5.859166666666667,39.42791666666667,1.4166666666666667,2023,11,Autumn
2023-11-18,2.51375,14.719166666666666,1.2916666666666667,2023,11,Autumn
2023-11-19,2.1558333333333333,6.259583333333333,2.0,2023,11,Autumn
2023-11-20,4.4325,24.344166666666666,1.4583333333333333,2023,11,Autumn
2023-11-21,1.4775,14.177083333333334,1.0,2023,11,Autumn
2023-11-22,6.271666666666667,30.580416666666668,1.2916666666666667,2023,11,Autumn
2023-11-23,1.6491666666666667,11.3775,1.5,2023,11,Autumn
2023-11-24,1.6083333333333334,13.677083333333334,1.6666666666666667,2023,11,Autumn
2023-11-25,5.415,27.2675,1.2083333333333333,2023,11,Autumn
2023-11-26,12.366666666666667,42.19833333333333,1.7916666666666667,2023,11,Autumn
2023-11-27,1.7095833333333335,15.33375,1.0,2023,11,Autumn
2023-11-28,2.840833333333333,26.811666666666667,1.25,2023,11,Autumn
2023-11-29,12.939166666666667,40.685,1.7083333333333333,2023,11,Autumn
2023-11-30,5.346666666666667,25.911666666666665,1.4166666666666667,2023,11,Autumn
2023-12-01,4.380833333333333,26.36125,1.0833333333333333,2023,12,Winter
2023-12-02,13.162083333333333,45.99625,1.7083333333333333,2023,12,Winter
2023-12-03,5.804166666666667,37.489583333333336,1.4583333333333333,2023,12,Winter
2023-12-04,2.952083333333333,21.324166666666667,1.1666666666666667,2023,12,Winter
2023-12-05,2.9975,18.828333333333333,1.0416666666666667,2023,12,Winter
2023-12-06,15.09625,44.62583333333333,1.8333333333333333,2023,12,Winter
2023-12-07,3.37125,20.605833333333333,1.0,2023,12,Winter
2023-12-08,2.6954166666666666,24.78375,1.0833333333333333,2023,12,Winter
2023-12-09,1.27375,9.062916666666666,1.875,2023,12,Winter
2023-12-10,1.8783333333333332,10.335833333333333,1.6666666666666667,2023,12,Winter
2023-12-11,5.928333333333334,27.347083333333334,1.6666666666666667,2023,12,Winter
2023-12-12,3.107083333333333,26.8325,1.125,2023,12,Winter
2023-12-13,1.9408333333333332,14.289583333333333,1.0,2023,12,Winter
2023-12-14,6.217083333333334,37.18625,1.4583333333333333,2023,12,Winter
2023-12-15,6.1575,37.3925,1.5416666666666667,2023,12,Winter
2023-12-16,2.6962499999999996,16.361666666666668,1.0,2023,12,Winter
2023-12-17,3.2129166666666666,13.176250000000001,1.2916666666666667,2023,12,Winter
2023-12-18,3.7741666666666664,14.719583333333333,1.625,2023,12,Winter
2023-12-19,2.4949999999999997,15.585833333333333,1.2916666666666667,2023,12,Winter
2023-12-20,1.4354166666666668,10.11875,1.75,2023,12,Winter
2023-12-21,1.5920833333333333,6.171250000000001,2.0,2023,12,Winter
2023-12-22,1.5775,6.642916666666667,2.0,2023,12,Winter
2023-12-23,1.2570833333333333,7.859999999999999,2.0,2023,12,Winter
2023-12-24,1.6429166666666666,5.40875,2.0,2023,12,Winter
2023-12-25,2.6166666666666667,9.692083333333334,1.75,2023,12,Winter
2023-12-26,10.755,33.64125,2.0,2023,12,Winter
2023-12-27,2.6233333333333335,13.765833333333333,1.5833333333333333,2023,12,Winter
2023-12-28,0.95125,7.322500000000001,2.0,2023,12,Winter
2023-12-29,0.7908333333333334,11.032499999999999,1.3333333333333333,2023,12,Winter
2023-12-30,1.0483333333333333,11.830833333333333,1.5833333333333333,2023,12,Winter
2023-12-31,0.6258333333333334,6.770833333333333,2.0,2023,12,Winter
2024-01-01,0.9445833333333334,12.52875,1.7083333333333333,2024,1,Winter
2024-01-02,1.8633333333333333,11.549166666666666,1.75,2024,1,Winter
2024-01-03,1.03125,13.795,1.5,2024,1,Winter
2024-01-04,2.37,27.202916666666667,1.3333333333333333,2024,1,Winter
2024-01-05,3.47125,20.550833333333333,1.125,2024,1,Winter
2024-01-06,4.09,20.052083333333332,1.0,2024,1,Winter
2024-01-07,0.7020833333333334,7.84125,1.875,2024,1,Winter
2024-01-08,0.9266666666666666,9.6075,1.875,2024,1,Winter
2024-01-09,2.77,13.37,1.0,2024,1,Winter
2024-01-10,3.758695652173913,14.29391304347826,1.826086956521739,2024,1,Winter
2024-01-11,5.45,15.15125,1.5,2024,1,Winter
2024-01-12,4.027083333333334,21.594166666666666,1.5416666666666667,2024,1,Winter
2024-01-13,8.505416666666667,33.77291666666667,1.4583333333333333,2024,1,Winter
2024-01-14,4.345833333333333,20.197083333333335,1.125,2024,1,Winter
2024-01-15,4.03,25.525833333333335,1.2916666666666667,2024,1,Winter
2024-01-16,9.410833333333334,54.03708333333333,1.9166666666666667,2024,1,Winter
2024-01-17,18.71708333333333,51.32333333333333,2.25,2024,1,Winter
2024-01-18,6.2370833333333335,34.27333333333333,1.3333333333333333,2024,1,Winter
2024-01-19,5.194166666666667,37.32875,1.5,2024,1,Winter
2024-01-20,4.931666666666667,17.861250000000002,1.1666666666666667,2024,1,Winter
2024-01-21,2.8066666666666666,7.859583333333333,2.0,2024,1,Winter
2024-01-22,1.3516666666666666,6.565,2.0,2024,1,Winter
2024-01-23,2.49875,13.502083333333333,1.3333333333333333,2024,1,Winter
2024-01-24,2.19625,14.345416666666667,1.875,2024,1,Winter
2024-01-25,4.362916666666667,29.180833333333336,1.375,2024,1,Winter
2024-01-26,2.4408333333333334,23.64625,2.0,2024,1,Winter
2024-01-27,6.420833333333333,37.114583333333336,1.4583333333333333,2024,1,Winter
2024-01-28,12.643333333333333,34.67333333333333,1.625,2024,1,Winter
2024-01-29,11.436250000000001,29.77416666666667,1.7916666666666667,2024,1,Winter
2024-01-30,6.552083333333333,27.875416666666666,1.4583333333333333,2024,1,Winter
2024-01-31,9.859583333333333,32.727916666666665,2.0,2024,1,Winter
2024-02-01,3.8554166666666667,29.977500000000003,1.5416666666666667,2024,2,Winter
2024-02-02,1.9566666666666668,13.870416666666666,1.4583333333333333,2024,2,Winter
2024-02-03,2.7687500000000003,10.18625,1.2916666666666667,2024,2,Winter
2024-02-04,1.5737500000000002,7.68625,1.9166666666666667,2024,2,Winter
2024-02-05,1.79625,9.180416666666666,2.0,2024,2,Winter
2024-02-06,0.8816666666666667,8.128333333333332,1.9583333333333333,2024,2,Winter
2024-02-07,6.552499999999999,38.47208333333334,1.4583333333333333,2024,2,Winter
2024-02-08,7.246666666666666,34.7575,1.6666666666666667,2024,2,Winter
2024-02-09,1.5070833333333333,15.540416666666667,1.5833333333333333,2024,2,Winter
2024-02-10,5.117083333333333,39.14875,1.4583333333333333,2024,2,Winter
2024-02-11,7.132916666666667,31.652916666666666,1.4166666666666667,2024,2,Winter
2024-02-12,2.7395833333333335,26.604583333333334,1.375,2024,2,Winter
2024-02-13,1.9754166666666666,19.692083333333333,1.4583333333333333,2024,2,Winter
2024-02-14,2.2720833333333332,16.186666666666667,1.125,2024,2,Winter
2024-02-15,5.307916666666666,29.54625,1.25,2024,2,Winter
2024-02-16,3.706666666666667,25.769166666666667,1.0,2024,2,Winter
2024-02-17,4.7716666666666665,26.424583333333334,1.25,2024,2,Winter
2024-02-18,1.9916666666666665,13.84875,1.375,2024,2,Winter
2024-02-19,2.56,20.096666666666668,1.375,2024,2,Winter
2024-02-20,3.7929166666666667,22.577083333333334,1.4166666666666667,2024,2,Winter
2024-02-21,2.566666666666667,13.15125,1.8333333333333333,2024,2,Winter
2024-02-22,1.81125,13.063333333333333,1.625,2024,2,Winter
2024-02-23,1.99875,26.076666666666668,1.625,2024,2,Winter
2024-02-24,11.5075,53.015416666666674,2.0833333333333335,2024,2,Winter
2024-02-25,11.494583333333333,37.653749999999995,1.7083333333333333,2024,2,Winter
2024-02-26,1.5954166666666667,7.21875,1.875,2024,2,Winter
2024-02-27,4.9799999999999995,27.35375,1.25,2024,2,Winter
2024-02-28,7.682083333333334,31.881666666666664,1.375,2024,2,Winter
2024-02-29,2.7708333333333335,22.9475,1.5833333333333333,2024,2,Winter
2024-03-01,1.2908333333333333,15.887916666666667,1.75,2024,3,Spring
2024-03-02,3.4095833333333334,26.060000000000002,2.0833333333333335,2024,3,Spring
2024-03-03,12.582500000000001,53.51541666666666,2.1666666666666665,2024,3,Spring
2024-03-04,7.547499999999999,33.779583333333335,1.9583333333333333,2024,3,Spring
2024-03-05,6.165416666666666,34.72708333333333,1.4583333333333333,2024,3,Spring
2024-03-06,14.745416666666666,45.739583333333336,2.0833333333333335,2024,3,Spring
2024-03-07,24.4225,30.823333333333334,2.375,2024,3,Spring
2024-03-08,19.672916666666666,21.734583333333333,2.0,2024,3,Spring
